PDB,CHAIN,SP_PRIMARY
5gh9,B,P68431
5ghb,A,P61956
5ghc,A,P61956
5ghd,A,P63165
5ghi,A,P36639
5ghi,B,P36639
5ghj,A,P36639
5ghj,B,P36639
5ghm,A,P36639
5ghm,B,P36639
5ghn,A,P36639
5ghn,B,P36639
5gho,A,P36639
5gho,B,P36639
5ghp,A,P36639
5ghp,B,P36639
5ghq,A,P36639
5ghq,B,P36639
5ghv,A,P43405
5ghv,B,P43405
5gic,C,Q15648
5gid,C,Q15648
5gie,C,Q15648
5gie,E,Q15648
5gim,A,P00734
5gim,B,P00734
5gir,C,O75874
5gir,D,O75874
5gis,C,P48735
5git,A,Q14145
5giw,X,Q8IVG9
5gix,A,P02768
5gix,B,P02768
5giy,A,P02768
5gjd,A,O43318
5gjd,A,Q15750
5gje,A,O75581
5gje,B,O75581
5gje,C,O94907
5gjf,A,O43318
5gjf,A,Q15750
5gjg,A,O43318
5gjg,A,Q15750
5gjh,A,O75791
5gjh,B,P10747
5gjh,C,O75791
5gjh,D,P10747
5gji,A,P27986
5gji,B,P10747
5gjj,A,P0DMV8
5gjk,A,Q92922
5gjk,B,Q12824
5gjq,B,P60900
5gjq,C,P25787
5gjq,D,P25789
5gjq,E,O14818
5gjq,F,P28066
5gjq,G,P25786
5gjq,H,P35998
5gjq,I,P62191
5gjq,J,P62195
5gjq,K,P43686
5gjq,L,P62333
5gjq,M,P17980
5gjq,N,Q99460
5gjq,O,Q9UNM6
5gjq,P,O00232
5gjq,Q,O00231
5gjq,R,Q15008
5gjq,S,O43242
5gjq,T,P48556
5gjq,U,P51665
5gjq,V,O00487
5gjq,W,P55036
5gjq,X,P25788
5gjq,Y,P60896
5gjq,Z,Q13200
5gjq,a,P28072
5gjq,b,Q99436
5gjq,c,P49720
5gjq,d,P49721
5gjq,e,P28074
5gjq,f,P20618
5gjq,g,P28070
5gjq,h,P60900
5gjq,i,P25787
5gjq,j,P25789
5gjq,k,O14818
5gjq,l,P28066
5gjq,m,P25786
5gjq,n,P25788
5gjq,o,P28072
5gjq,p,Q99436
5gjq,q,P49720
5gjq,r,P49721
5gjq,s,P28074
5gjq,t,P20618
5gjq,u,P28070
5gjq,x,P54578
5gjq,y,P0CG47
5gjr,0,P17980
5gjr,1,Q99460
5gjr,2,Q9UNM6
5gjr,3,O00232
5gjr,4,O00231
5gjr,5,Q15008
5gjr,6,O43242
5gjr,7,P48556
5gjr,8,P51665
5gjr,9,O00487
5gjr,AA,P55036
5gjr,AB,P60896
5gjr,AC,Q13200
5gjr,B,P60900
5gjr,C,P25787
5gjr,D,P25789
5gjr,E,O14818
5gjr,F,P28066
5gjr,G,P25786
5gjr,H,P35998
5gjr,I,P62191
5gjr,J,P62195
5gjr,K,P43686
5gjr,L,P62333
5gjr,M,P17980
5gjr,N,Q99460
5gjr,O,Q9UNM6
5gjr,P,O00232
5gjr,Q,O00231
5gjr,R,Q15008
5gjr,S,O43242
5gjr,T,P48556
5gjr,U,P51665
5gjr,V,O00487
5gjr,W,P55036
5gjr,X,P25788
5gjr,Y,P60896
5gjr,Z,Q13200
5gjr,a,P28072
5gjr,b,Q99436
5gjr,c,P49720
5gjr,d,P49721
5gjr,e,P28074
5gjr,f,P20618
5gjr,g,P28070
5gjr,h,P60900
5gjr,i,P25787
5gjr,j,P25789
5gjr,k,O14818
5gjr,l,P28066
5gjr,m,P25786
5gjr,n,P25788
5gjr,o,P28072
5gjr,p,Q99436
5gjr,q,P49720
5gjr,r,P49721
5gjr,s,P28074
5gjr,t,P20618
5gjr,u,P28070
5gjr,v,P35998
5gjr,w,P62191
5gjr,x,P62195
5gjr,y,P43686
5gjr,z,P62333
5gk9,A,O95251
5gk9,B,O95696
5gl7,A,P56192
5glf,A,P55072
5glf,B,Q9BUN8
5glf,C,P55072
5glf,D,Q9BUN8
5glf,E,P55072
5glf,F,Q9BUN8
5glf,G,P55072
5glf,H,Q9BUN8
5glh,A,P24530
5glh,B,P05305
5gli,A,P24530
5glj,A,Q12923
5glj,B,Q12923
5glj,C,Q12923
5glj,D,Q12923
5gmm,A,P00915
5gmm,B,P00915
5gmn,A,P00918
5gmp,A,P00533
5gmv,A,Q9GZQ8
5gmv,B,Q9GZQ8
5gmv,C,Q8IVP5
5gmv,D,Q8IVP5
5gn8,A,P02794
5gn8,B,P02794
5gnh,A,Q13614
5gnh,B,Q13614
5gni,A,P16284
5gni,B,P16284
5gnk,A,P00533
5gnr,A,Q8IWA4
5gns,A,Q8IWA4
5gnt,A,Q8IWA4
5gnu,A,Q8IWA4
5go4,A,Q8IWA4
5go7,A,P0CG47
5go7,B,P62987
5go8,A,P0CG47
5go8,B,P62987
5gob,A,P0CG47
5gob,B,P62987
5goc,A,P0CG47
5goc,D,P62987
5god,A,P0CG47
5god,B,P0CG47
5god,C,P62987
5god,D,P62987
5goe,A,Q8IWA4
5gof,A,Q8IWA4
5gog,A,P0CG47
5gog,B,P62987
5goh,A,P0CG47
5goh,D,P62987
5goi,A,P0CG47
5goi,B,P0CG47
5goi,C,P62987
5goi,D,P62987
5goj,A,P0CG47
5goj,B,P62987
5gok,A,P0CG47
5gok,B,P62987
5gom,A,Q8IWA4
5gom,B,Q8IWA4
5gou,A,P02794
5gou,B,P02794
5gou,C,P02794
5gou,D,P02794
5gou,E,P02794
5gou,F,P02794
5gou,G,P02794
5gou,H,P02794
5gou,I,P02794
5gou,J,P02794
5gou,K,P02794
5gou,L,P02794
5gou,M,P02794
5gou,N,P02794
5gou,O,P02794
5gou,P,P02794
5gow,A,Q14186
5gow,B,P32780
5gox,A,Q92878
5gox,B,Q92878
5goy,A,P56192
5gp7,A,O95271
5gp7,B,Q9UHP3
5gpg,A,Q00688
5gpg,B,P42345
5gph,A,Q13526
5gpy,A,P29083
5gpy,B,P29084
5gqq,A,Q9Y5Z4
5gqq,B,Q9Y5Z4
5gqq,C,O75340
5gqq,D,O75340
5gr7,B,P61769
5grd,A,P04439
5grd,B,P61769
5gre,A,P50213
5gre,B,P51553
5grf,A,P50213
5grf,B,P51553
5grg,A,P04439
5grg,B,P61769
5grh,A,P50213
5grh,B,P51553
5gri,A,P50213
5gri,B,P51553
5grj,A,Q9NZQ7
5grl,A,P50213
5grl,B,P51553
5grn,A,P16234
5grq,A,Q9UER7
5grq,B,Q9UER7
5grq,C,P46100
5grq,D,P46100
5grt,A,P00390
5gs0,A,O15455
5gs0,B,O15455
5gs4,A,P03372
5gs9,A,Q8WTX7
5gs9,B,Q8WTX7
5gs9,C,Q8WTX7
5gs9,D,Q8WTX7
5gsa,A,O75530
5gsa,B,O75530
5gsa,C,Q15910
5gsa,D,Q15910
5gsb,B,P61769
5gsd,A,P04439
5gsd,B,P61769
5gse,A,P68431
5gse,B,P62805
5gse,C,P04908
5gse,D,P06899
5gse,E,P68431
5gse,F,P62805
5gse,G,P04908
5gse,H,P06899
5gse,K,P68431
5gse,L,P62805
5gse,M,P04908
5gse,N,P06899
5gse,O,P68431
5gse,P,P62805
5gsq,A,P01857
5gsq,B,P01857
5gsq,C,P01857
5gsq,D,P01857
5gsr,B,P61769
5gsr,D,P61769
5gss,A,P09211
5gss,B,P09211
5gsu,A,P68431
5gsu,B,P62805
5gsu,C,Q96QV6
5gsu,D,Q96A08
5gsu,E,P68431
5gsu,F,P62805
5gsu,G,Q96QV6
5gsu,H,Q96A08
5gsv,B,P61769
5gsx,B,P61769
5gsx,E,P61769
5gt0,A,P68431
5gt0,B,P62805
5gt0,C,Q96QV6
5gt0,D,P62807
5gt0,E,P68431
5gt0,F,P62805
5gt0,G,Q96QV6
5gt0,H,P62807
5gt3,A,P68431
5gt3,B,P62805
5gt3,C,P20671
5gt3,D,Q96A08
5gt3,E,P68431
5gt3,F,P62805
5gt3,G,P20671
5gt3,H,Q96A08
5gt4,A,P11473
5gt7,A,Q8WTX7
5gt7,B,Q8WTX7
5gt7,C,Q8WTX7
5gt7,D,Q8WTX7
5gt8,A,Q8WTX7
5gt8,B,Q8WTX7
5gt8,C,Q8WTX7
5gt8,D,Q8WTX7
5gtc,A,P68431
5gtc,B,P62805
5gtc,C,P04908
5gtc,D,P06899
5gtc,E,P68431
5gtc,F,P62805
5gtc,G,P04908
5gtc,H,P06899
5gtj,A,Q9BV47
5gtj,B,Q9BV47
5gtj,C,Q9BV47
5gtj,D,Q9BV47
5gtm,A,P20591
5gtm,B,P20591
5gtn,A,P37231
5gtn,B,Q15788
5gto,A,P37231
5gto,B,Q15788
5gtp,A,P37231
5gtp,B,Q15788
5gtr,A,P03372
5gtu,A,Q9UBQ0
5gtu,B,Q92609
5gty,A,P00533
5gty,B,P00533
5gty,C,P00533
5gty,D,P00533
5gty,E,P00533
5gty,F,P00533
5gty,G,P00533
5gty,H,P00533
5gtz,A,P00533
5gu4,C,P05387
5gu4,D,P05387
5gu6,A,Q9BS26
5gu7,C,Q9BS26
5gv2,A,Q8WTX7
5gv2,C,Q8WTX7
5gva,A,O75717
5gvb,A,O75717
5gvc,A,O95985
5gvc,B,O95985
5gvd,A,Q9H7E2
5gvd,B,Q9H7E2
5gve,A,O95985
5gve,B,Q9H7E2
5gvq,A,Q15427
5gvr,A,Q9UJV9
5gvs,A,Q9UJV9
5gvs,B,Q9UJV9
5gvs,C,Q9UJV9
5gvs,D,Q9UJV9
5gw0,A,P57768
5gw0,B,P57768
5gw0,C,P57768
5gw0,D,P57768
5gw0,E,P57768
5gw0,F,P57768
5gw1,A,P57768
5gw1,B,P57768
5gw1,C,P57768
5gw1,D,P57768
5gw1,E,P57768
5gw1,F,P57768
5gw1,G,P57768
5gw1,H,P57768
5gw6,A,P06730
5gw9,A,P09919
5gw9,B,P09919
5gw9,C,P09919
5gw9,D,P09919
5gwi,A,Q02880
5gwi,B,Q02880
5gwj,A,Q02880
5gwj,B,Q02880
5gwk,A,P11388
5gwk,B,P11388
5gwn,A,Q9P258
5gxh,A,Q8TEQ6
5gxi,A,Q8TEQ6
5gxo,A,P04179
5gxo,B,P04179
5gxq,A,A0A1X8XL64
5gxq,B,P62805
5gxq,C,P04908
5gxq,D,P06899
5gxq,E,A0A1X8XL64
5gxq,F,P62805
5gxq,G,P04908
5gxq,H,P06899
5gxw,B,Q14980
5gyn,A,Q96GD0
5gzb,A,Q15561
5gzc,A,O00214
5gzd,A,O00214
5gze,A,O00214
5gzf,A,O00214
5gzg,A,O00214
5h07,A,P0CG48
5h07,C,Q8NFZ5
5h07,D,Q8NFZ5
5h08,A,P23471
5h09,A,P08631
5h0b,A,P08631
5h0e,A,P08631
5h0g,A,P08631
5h0h,A,P08631
5h0p,A,Q96C19
5h0u,A,P50281
5h0v,A,P02766
5h0v,B,P02766
5h0v,C,P02766
5h0v,D,P02766
5h0w,A,P02766
5h0x,A,P02766
5h0x,B,P02766
5h0y,A,P02766
5h0z,A,P02766
5h10,A,Q13077
5h10,B,Q13077
5h10,C,Q13077
5h10,D,Q92844
5h10,E,Q92844
5h10,F,Q92844
5h13,A,O75530
5h14,A,O75530
5h14,B,O75530
5h14,C,Q15910
5h14,D,Q15910
5h15,A,O75530
5h15,B,O75530
5h15,C,Q15910
5h15,D,Q15910
5h17,A,O75530
5h17,B,Q15910
5h19,A,O75530
5h19,B,Q15910
5h1b,A,Q06609
5h1b,B,Q06609
5h1b,C,Q06609
5h1c,A,Q06609
5h1c,B,Q06609
5h1c,C,Q06609
5h1d,A,P52566
5h1e,C,Q15596
5h1j,A,Q8TEQ6
5h1k,A,Q8TEQ6
5h1k,B,Q8TEQ6
5h1l,A,Q8TEQ6
5h1m,A,Q8TEQ6
5h1t,A,O15164
5h1t,B,O15164
5h1t,C,O15164
5h1t,D,O15164
5h1u,A,O15164
5h1u,B,O15164
5h1u,C,O15164
5h1u,D,O15164
5h1v,A,O15164
5h1v,B,O15164
5h1y,A,Q9UJV9
5h1y,B,Q9UJV9
5h21,A,O60885
5h24,A,O75530
5h24,B,O75530
5h24,C,Q15910
5h24,D,Q15910
5h25,A,O75530
5h25,B,O75530
5h25,C,Q15910
5h25,D,Q15910
5h2u,A,Q13882
5h2u,B,Q13882
5h2u,C,Q13882
5h2u,D,Q13882
5h2z,A,Q02127
5h31,A,Q14790
5h31,B,Q14790
5h31,C,Q14790
5h31,D,Q14790
5h33,A,Q14790
5h33,B,Q14790
5h3d,A,Q15027
5h3d,B,Q15027
5h3d,C,Q15027
5h3d,D,Q15027
5h3m,A,P06396
5h3n,A,P06396
5h3q,A,P04629
5h3s,A,Q8TEQ6
5h3s,B,Q8TEQ6
5h3t,A,Q8TEQ6
5h3t,B,Q8TEQ6
5h3t,C,Q8TEQ6
5h3t,D,Q8TEQ6
5h3u,A,Q8TEQ6
5h3u,B,Q8TEQ6
5h43,A,P52292
5h43,B,Q9H7Z6
5h43,C,Q9H7Z6
5h4d,A,Q9NTG7
5h4d,H,Q9NTG7
5h4j,A,P33316
5h4y,A,O00445
5h4z,A,O00445
5h4z,B,O00445
5h52,A,P02787
5h64,A,P42345
5h64,B,Q8N122
5h64,C,Q9BVC4
5h64,a,P42345
5h64,b,Q8N122
5h64,c,Q9BVC4
5h65,A,Q9NUX5
5h65,B,Q96AP0
5h6q,A,O60341
5h6q,B,Q9UKL0
5h6q,C,P68431
5h6r,A,O60341
5h6r,B,Q9UKL0
5h6r,C,P68431
5h73,A,Q02127
5h77,A,P13861
5h77,B,P13861
5h77,C,P13861
5h77,D,P13861
5h77,E,P13861
5h77,F,P13861
5h77,G,P13861
5h77,H,P13861
5h77,I,P13861
5h77,J,P13861
5h77,K,P13861
5h77,L,P13861
5h78,A,P13861
5h78,B,P13861
5h7g,A,P41182
5h7g,B,P41182
5h7h,A,P41182
5h7n,A,P59046
5h7n,B,P59046
5h7q,A,P41218
5h7r,D,Q8TBB1
5h7s,A,P61088
5h7s,B,Q8TBB1
5h7s,C,P61088
5h7s,D,Q8TBB1
5h7s,E,P0CG47
5h7s,F,P0CG47
5h7v,A,O43278
5h84,A,Q92830
5h85,A,Q92793
5h86,A,Q92830
5h8b,A,P68400
5h8b,B,P68400
5h8e,A,P68400
5h8e,B,P68400
5h8f,A,Q12879
5h8f,B,Q05586
5h8g,A,P68400
5h8h,A,Q12879
5h8h,B,Q05586
5h8n,A,Q12879
5h8n,B,Q05586
5h8o,B,Q9ULZ3
5h8q,A,Q12879
5h8q,B,Q05586
5h8s,A,P42262
5h8s,B,P42262
5h8s,C,P42262
5h8t,A,P09455
5h8x,A,P22894
5h9a,A,P09455
5h9m,A,O43255
5h9m,B,O43255
5h9p,A,P17931
5h9q,A,P47929
5h9q,B,P47929
5h9r,A,P17931
5h9s,A,P47929
5h9s,B,P47929
5ha1,A,P09455
5ha6,A,Q9UQF0
5ha6,B,Q9UQF0
5ha7,A,P15121
5ha7,B,P15121
5ha9,A,P09874
5ha9,B,P09874
5hbe,A,P49336
5hbe,B,P24863
5hbf,A,Q13231
5hbf,B,Q13231
5hbh,A,P49336
5hbh,B,P24863
5hbj,A,P49336
5hbj,B,P24863
5hbs,A,P09455
5hbt,B,P02708
5hcc,A,P01031
5hcc,B,P01031
5hcd,A,P01031
5hcd,B,P01031
5hce,A,P01031
5hce,B,P01031
5hck,A,P08631
5hcl,A,O60885
5hcv,A,P08235
5hcv,B,P08235
5hcv,C,P08235
5hcx,A,P00533
5hcy,A,P00533
5hcz,A,P00533
5hd0,A,P56817
5hd0,B,P56817
5hda,A,Q15326
5hda,C,Q15326
5hdb,A,P08514
5hdb,B,P05106
5hdb,C,P08514
5hdb,D,P05106
5hde,A,Q05209
5hdg,A,Q00613
5hdh,A,Q9NR97
5hdk,A,Q03933
5hdk,B,Q03933
5hdk,C,Q03933
5hdk,D,Q03933
5hdn,A,Q00613
5hdn,B,Q00613
5hdn,C,Q00613
5hdn,D,Q00613
5hdt,A,Q9NTI5
5hdt,B,Q9NTI5
5hdt,E,Q7Z5K2
5hdu,A,P56817
5hdu,B,P56817
5hdv,A,P56817
5hdv,B,P56817
5hdw,A,Q9UK99
5hdx,A,P56817
5hdx,B,P56817
5hdz,A,P56817
5hdz,B,P56817
5he0,B,P62873
5he0,G,P59768
5he1,A,P25098
5he1,B,P62873
5he1,G,P59768
5he2,B,P62873
5he2,G,P59768
5he3,B,P62873
5he3,G,P59768
5he4,A,P56817
5he4,B,P56817
5he5,A,P56817
5he5,B,P56817
5he7,A,P56817
5he7,B,P56817
5hel,A,P25440
5hem,A,P25440
5hem,B,P25440
5hen,A,P25440
5hen,B,P25440
5hen,C,P25440
5hes,A,Q9NYL2
5hes,B,Q9NYL2
5hex,A,P52789
5hex,B,P52789
5hez,A,O60674
5hez,B,O60674
5hez,C,O60674
5hez,D,O60674
5hf3,A,P31947
5hf3,B,P10636
5hf5,A,P22303
5hf5,B,P22303
5hf6,A,P22303
5hf6,B,P22303
5hf7,A,Q13569
5hf8,A,P22303
5hf8,B,P22303
5hf9,A,P22303
5hf9,B,P22303
5hfa,A,P22303
5hfa,B,P22303
5hfq,A,P25440
5hfr,A,Q15059
5hfr,B,Q15059
5hfr,C,Q15059
5hfr,D,Q15059
5hfu,A,P52789
5hfu,B,P52789
5hg1,A,P52789
5hg5,A,P00533
5hg7,A,P00533
5hg8,A,P00533
5hg9,A,P00533
5hga,A,P04439
5hga,B,P61769
5hga,D,P04439
5hga,E,P61769
5hgb,A,P04439
5hgb,B,P61769
5hgb,D,P04439
5hgb,E,P61769
5hgb,G,P04439
5hgb,H,P61769
5hgb,J,P04439
5hgb,K,P61769
5hgd,A,P04439
5hgd,B,P61769
5hgd,D,P04439
5hgd,E,P61769
5hgg,A,P00749
5hgg,B,P00749
5hgh,A,P04439
5hgh,B,P61769
5hgi,A,O75460
5hgj,A,P56199
5hgj,B,P56199
5hgu,A,Q15562
5hgu,B,Q15562
5hgv,A,O15294
5hgv,B,P68400
5hgv,C,O15294
5hgv,D,P68400
5hgz,A,Q9H7X0
5hh0,A,Q9H7X0
5hh1,A,Q9H7X0
5hhc,A,P15692
5hhc,B,P15692
5hhd,A,P15692
5hhd,B,P15692
5hhe,A,Q14457
5hhe,D,Q14457
5hhh,A,P06746
5hhi,A,P06746
5hhm,A,P04439
5hhm,B,P61769
5hhm,D,A0A087WT01
5hhm,D,P01848
5hhm,E,A0A075B6N1
5hhm,E,A0A5B9
5hhm,F,P04439
5hhm,G,P61769
5hhm,I,A0A087WT01
5hhm,I,P01848
5hhm,J,A0A075B6N1
5hhm,J,A0A5B9
5hhn,A,P04439
5hhn,B,P61769
5hho,A,P04439
5hho,B,P61769
5hho,D,A0A087WT01
5hho,D,P01848
5hho,E,A0A075B6N1
5hho,E,A0A5B9
5hhp,A,P04439
5hhp,B,P61769
5hhq,A,P04439
5hhq,B,P61769
5hhv,A,Q16552
5hhv,B,Q16552
5hhw,A,P06213
5hhx,A,Q16552
5hhx,B,Q16552
5hhy,A,P21549
5hhy,B,P21549
5hi2,A,P15056
5hi3,A,Q16552
5hi3,B,Q16552
5hi4,A,Q16552
5hi4,B,Q16552
5hi5,A,Q16552
5hi5,B,Q16552
5hi7,A,Q9H7B4
5hia,A,P00492
5hia,B,P00492
5hia,C,P00492
5hia,D,P00492
5hib,A,P00533
5hic,A,P00533
5hid,A,P15056
5hid,B,P15056
5hie,A,P15056
5hie,B,P15056
5hie,C,P15056
5hie,D,P15056
5hin,A,Q02127
5hj2,A,P17301
5hj2,B,P17301
5hj2,C,P17301
5hj2,D,P17301
5hj2,E,P17301
5hj2,F,P17301
5hjb,A,P42568
5hjb,B,P68431
5hjc,A,Q15059
5hjc,B,P68431
5hjd,A,P42568
5hjd,B,P68431
5hjd,C,P42568
5hjd,D,P68431
5hjd,E,P42568
5hjd,F,P68431
5hjd,G,P42568
5hjd,H,P68431
5hjd,I,P68431
5hjd,J,P68431
5hjd,K,P42568
5hjd,L,P68431
5hjd,M,P68431
5hjd,N,P42568
5hjd,Q,P42568
5hjd,T,P42568
5hjg,A,P02766
5hjg,B,P02766
5hjp,A,P28702
5hjp,B,P55055
5hjp,C,P28702
5hjp,D,P55055
5hjs,A,Q13133
5hjs,B,Q13133
5hjs,C,Q15788
5hjs,D,Q15788
5hk1,A,Q99720
5hk1,B,Q99720
5hk1,C,Q99720
5hk2,A,Q99720
5hk2,B,Q99720
5hk2,C,Q99720
5hk5,A,P43026
5hk5,B,P43026
5hk5,C,P43026
5hk5,D,P43026
5hkg,A,P68106
5hkh,A,P61960
5hkh,B,Q9GZZ9
5hkh,C,P61960
5hkj,A,P02745
5hkj,A,P02747
5hkj,A,P02746
5hkm,A,O15530
5hkp,C,P54274
5hkp,D,P54274
5hkw,A,P22681
5hkw,B,P22681
5hkw,C,P22681
5hkx,A,P22681
5hky,A,P22681
5hky,B,O43597
5hkz,A,P22681
5hkz,B,O43597
5hl0,A,P22681
5hl0,B,O43597
5hl1,A,O94925
5hl1,B,O94925
5hl1,C,O94925
5hl1,D,O94925
5hln,A,P49841
5hln,B,P49841
5hlo,A,P05109
5hlo,B,P05109
5hlo,C,P05109
5hlo,D,P05109
5hlp,A,P49841
5hlp,B,P49841
5hls,A,O60885
5hlv,A,P05109
5hlv,B,P05109
5hlv,C,P05109
5hlv,D,P05109
5hlv,E,P05109
5hlv,F,P05109
5hlv,G,P05109
5hlv,H,P05109
5hlw,A,P08581
5hly,A,P08476
5hlz,A,P08476
5hlz,B,P08476
5hlz,C,P08476
5hlz,D,P08476
5hlz,E,P08476
5hlz,F,P08476
5hlz,G,P08476
5hlz,H,P08476
5hm0,A,O60885
5hm7,A,O00481
5hm7,B,O00481
5hmh,A,Q00987
5hmh,B,Q00987
5hmi,A,Q00987
5hmi,B,Q00987
5hmk,A,Q00987
5hmk,B,Q00987
5hmp,A,Q9NQX4
5hmp,B,Q9NQX4
5hms,A,P13716
5hms,B,P13716
5hn1,A,Q9NZH6
5hn1,B,Q9NZH6
5hnb,A,P49336
5hnb,B,P24863
5hne,A,O15382
5hne,B,O15382
5hng,A,O15530
5hni,X,P08581
5hni,Y,P08581
5hnr,A,P13716
5hnr,B,P13716
5hns,A,O15118
5hns,B,O15118
5hnt,A,P42330
5hnt,C,P42330
5hnu,A,P42330
5hnu,C,P42330
5ho4,A,P22626
5ho6,A,P08581
5ho7,A,O15530
5ho8,A,O15530
5hoa,A,P08581
5hob,A,O15350
5hob,B,O15350
5hob,C,O15350
5hob,D,O15350
5hob,E,O15350
5hob,F,O15350
5hob,G,O15350
5hob,H,O15350
5hoc,A,O15350
5hoc,B,O15350
5hod,A,Q969G2
5hod,D,Q969G2
5hor,A,P08581
5hou,A,P04637
5how,A,P05067
5how,B,P05067
5how,C,P05067
5how,D,P05067
5how,E,P05067
5how,F,P05067
5hox,A,P05067
5hox,B,P05067
5hox,C,P05067
5hox,D,P05067
5hox,E,P05067
5hox,F,P05067
5hoy,A,P05067
5hoy,B,P05067
5hoy,C,P05067
5hoy,D,P05067
5hoy,E,P05067
5hoy,F,P05067
5hp0,A,P04637
5hp2,A,P78563
5hp2,D,P78563
5hp3,A,P78563
5hp3,D,P78563
5hp5,A,Q9ULC6
5hp5,B,Q9ULC6
5hpb,A,P00374
5hpd,A,P04637
5hpe,A,P53041
5hpe,A,Q16543
5hpg,A,P00747
5hpg,B,P00747
5hph,A,Q12931
5hph,B,Q12931
5hpk,A,Q96PU5
5hpk,B,P62987
5hpl,C,P62987
5hpl,D,P62987
5hpr,A,P01308
5hpr,B,P01308
5hps,A,Q9H0M0
5hps,B,P62987
5hpt,A,Q9H0M0
5hpt,B,P62987
5hpt,C,P68036
5hpt,D,Q9H0M0
5hpt,E,P62987
5hpt,F,P68036
5hpt,G,Q9H0M0
5hpt,H,P62987
5hpu,A,P01308
5hpu,B,P01308
5hpu,C,P01308
5hpu,D,P01308
5hpy,A,Q13459
5hpy,B,P61586
5hpy,D,Q13459
5hpy,F,P61586
5hq0,A,P06493
5hq0,B,P14635
5hq0,C,P33552
5hq2,M,Q9NQR1
5hq3,A,P22303
5hq3,B,P22303
5hq5,A,O60885
5hq6,A,O60885
5hq7,A,O60885
5hq8,A,Q9H7B4
5hq8,B,Q9H7B4
5hq8,I,Q9Y2U5
5hq8,J,Q9Y2U5
5hqe,A,Q02127
5hqg,A,Q8NHY2
5hqi,A,P01308
5hqi,B,P01308
5hqp,A,Q13162
5hqp,B,Q13162
5hqp,C,Q9BS26
5hqp,D,Q9BS26
5hqy,A,P00374
5hqz,A,P00374
5hrq,A,P01308
5hrq,B,P01308
5hrq,C,P01308
5hrq,D,P01308
5hrq,E,P01308
5hrq,F,P01308
5hrq,G,P01308
5hrq,H,P01308
5hrq,I,P01308
5hrq,J,P01308
5hrq,K,P01308
5hrq,L,P01308
5hrv,A,Q86U86
5hrw,A,Q86U86
5hrw,B,Q86U86
5hrx,A,Q86U86
5hrx,B,Q86U86
5hs3,A,P04818
5hs3,B,P04818
5hs3,C,P04818
5hs3,D,P04818
5hs3,E,P04818
5hs3,F,P04818
5hs6,A,Q9BPX1
5hsf,A,P01857
5hsf,B,P01857
5hsh,A,P36871
5hsh,B,P36871
5hsr,A,P00374
5hsu,A,P00374
5ht4,A,P00374
5ht5,A,P00374
5ht6,A,Q8IZD2
5ht6,B,Q8IZD2
5htb,A,Q8TF76
5htc,A,Q8TF76
5hti,A,P08581
5htk,A,O60825
5htk,B,O60825
5htz,A,P56817
5htz,B,P56817
5hu0,A,P56817
5hu0,B,P56817
5hu1,A,P56817
5hu1,B,P56817
5hu6,A,P69905
5hu6,B,P68871
5hu6,C,P00738
5hu9,A,P00519
5hui,A,P00374
5huz,A,O14974
5huz,B,O14974
5hv9,A,Q16873
5hvb,A,P00374
5hve,A,P00374
5hvf,A,Q96IY4
5hvg,A,Q96IY4
5hvg,C,Q96IY4
5hvh,A,Q96IY4
5hvj,A,P53667
5hvj,B,P53667
5hvk,A,P53667
5hvk,B,P23528
5hvk,C,P53667
5hvk,D,P23528
5hvq,C,Q8WV22
5hvq,D,Q96MG7
5hvs,A,P14174
5hvs,B,P14174
5hvs,C,P14174
5hvt,A,P14174
5hvt,B,P14174
5hvt,C,P14174
5hvu,A,Q13464
5hvu,B,Q13464
5hvv,A,P14174
5hvv,B,P14174
5hvv,C,P14174
5hvw,A,P01861
5hvy,A,P49336
5hvy,B,P24863
5hvz,C,Q9BSF0
5hwl,A,P28161
5hwl,B,P28161
5hx4,A,Q8IUX4
5hx4,B,Q8IUX4
5hx5,A,Q8IUX4
5hx5,B,Q8IUX4
5hx6,A,Q13546
5hx6,B,Q13546
5hx8,A,P23458
5hx8,B,P23458
5hxb,A,P15170
5hxb,B,Q16531
5hxb,C,Q96SW2
5hxb,X,P15170
5hxb,Y,Q16531
5hxb,Z,Q96SW2
5hy8,A,P69905
5hy8,B,P68871
5hy8,C,P69905
5hy8,D,P68871
5hy8,E,P69905
5hy8,F,P68871
5hy8,G,P69905
5hy8,H,P68871
5hy8,S,P69905
5hy8,T,P68871
5hy9,A,P01857
5hy9,B,P01857
5hyd,A,Q8WXG8
5hyd,B,Q8WXG8
5hyd,C,Q8WXG8
5hyd,D,Q8WXG8
5hye,A,P01857
5hye,C,P01857
5hyf,A,P01857
5hyi,A,P01857
5hyi,B,P01857
5hyi,C,P01857
5hyi,D,P01857
5hyj,A,P04439
5hyj,B,P61769
5hyj,C,P01308
5hyj,D,A0A0B4J271
5hyj,D,P01848
5hyj,E,A0A0B4J2E0
5hyj,E,A0A5B9
5hyj,F,P04439
5hyj,G,P61769
5hyj,H,P01308
5hyj,I,A0A0B4J271
5hyj,I,P01848
5hyj,J,A0A0B4J2E0
5hyj,J,A0A5B9
5hyk,A,Q07869
5hyn,A,Q15910
5hyn,B,O75530
5hyn,C,Q15022
5hyn,D,P68431
5hyn,E,Q92833
5hyn,F,Q15910
5hyn,G,O75530
5hyn,H,Q15022
5hyn,I,P68431
5hyn,J,Q92833
